epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
173,9685.03,0.49954,0.35548,0.93341,0.95305,0.8073,0.87465,0.64112,0.93827,0.4296,1.14256,0.004324,0.004324,0.004324
174,9733.76,0.50023,0.35453,0.9317,0.96642,0.8039,0.87997,0.64165,0.93614,0.43609,1.14781,0.004291,0.004291,0.004291
175,9782.71,0.50326,0.35234,0.92857,0.94381,0.81076,0.88052,0.64812,0.92621,0.43666,1.13529,0.004258,0.004258,0.004258
176,9830.51,0.50338,0.35274,0.9268,0.96078,0.80101,0.87362,0.64,0.93184,0.43553,1.13755,0.004225,0.004225,0.004225
177,9878.43,0.50127,0.34801,0.92744,0.95161,0.8079,0.87403,0.63333,0.9628,0.44588,1.16681,0.004192,0.004192,0.004192
178,9926.13,0.49749,0.34649,0.92959,0.95769,0.80488,0.87418,0.63063,0.95165,0.44722,1.16331,0.004159,0.004159,0.004159
179,9974.46,0.50156,0.35088,0.92871,0.96266,0.81674,0.87868,0.63752,0.95205,0.44966,1.16664,0.004126,0.004126,0.004126
180,10022.5,0.49867,0.3467,0.93188,0.95354,0.82118,0.88037,0.63143,0.95548,0.4466,1.17525,0.004093,0.004093,0.004093
181,10070.1,0.49088,0.34363,0.92668,0.96364,0.8141,0.88144,0.63093,0.95705,0.42852,1.17171,0.00406,0.00406,0.00406
182,10117.7,0.49037,0.34615,0.92359,0.95402,0.81762,0.87865,0.63043,0.96788,0.42212,1.17921,0.004027,0.004027,0.004027
183,10164.9,0.49038,0.34324,0.92577,0.9473,0.81182,0.87954,0.63704,0.94422,0.42023,1.1635,0.003994,0.003994,0.003994
184,10212.6,0.49253,0.34474,0.92822,0.95058,0.80438,0.87557,0.64077,0.94441,0.43465,1.16751,0.003961,0.003961,0.003961
185,10260.2,0.49154,0.34204,0.92239,0.94099,0.81721,0.88189,0.64094,0.95329,0.43898,1.17246,0.003928,0.003928,0.003928
